solID,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,spend_share_refresh,effect_share_refresh,mape,nrmse,decomp.rssd,rsq_train,lambda,iterPar,iterNG,df.int,trial,iterations,robynPareto,total_spend,mean_spend,spend_share,effect_share,roi_mean,roi_total,cpa_total,mean_response,next_unit_response
1_223_3,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,,,0,0.116911132385123,0.0576618630313343,0.527106570574518,133208528.454404,3,223,1,1,1335,3,,,,,,,,,
1_223_3,CPI,-251814.32796978,-4940093486.11114,-0.218764478810132,0,0,-4940093486.11114,-0.218764478810132,0,0,FALSE,,,0,0.116911132385123,0.0576618630313343,0.527106570574518,133208528.454404,3,223,1,1,1335,3,,,,,,,,,
1_223_3,gas_dpg,0,0,0,0,0,0,0,0,0,TRUE,,,0,0.116911132385123,0.0576618630313343,0.527106570574518,133208528.454404,3,223,1,1,1335,3,,,,,,,,,
1_223_3,holiday,0,0,0,0,0,0,0,0,0,TRUE,,,0,0.116911132385123,0.0576618630313343,0.527106570574518,133208528.454404,3,223,1,1,1335,3,,,,,,,,,
1_223_3,markdown_1,13818775.1951608,1005352498.30185,0.0445204966120192,5129349.48113191,0.0388360656811612,1005352498.30185,0.0445204966120192,5129349.48113191,0.0388360656811612,TRUE,,,0,0.116911132385123,0.0576618630313343,0.527106570574518,133208528.454404,3,223,1,1,1335,3,,,,,,,,,
1_223_3,markdown_2,133829963.811893,9438590783.47063,0.417973546300944,45160721.4520126,0.341927324501967,9438590783.47063,0.417973546300944,45160721.4520126,0.341927324501967,TRUE,,,0,0.116911132385123,0.0576618630313343,0.527106570574518,133208528.454404,3,223,1,1,1335,3,,,,,,,,,
1_223_3,season,0.242191496247469,-1333086.06351541,-5.90336759241319e-05,-6378.4022177771,-4.82930727145136e-05,-1333086.06351541,-5.90336759241319e-05,-6378.4022177771,-4.82930727145136e-05,FALSE,,,0,0.116911132385123,0.0576618630313343,0.527106570574518,133208528.454404,3,223,1,1,1335,3,,,,,,,,,
1_223_3,spend_SEM,44694877.7239631,3177563462.97287,0.140713534433655,15203652.9328845,0.115112075335679,3177563462.97287,0.140713534433655,15203652.9328845,0.115112075335679,TRUE,0.26656260471682,0.254993901870765,0,0.116911132385123,0.0576618630313343,0.527106570574518,133208528.454404,3,223,1,1,1335,3,130861971.62,626133.835502392,0.26656260471682,0.254993901870765,8.51536011570946,24.2817941961011,0.0411831181799806,5331755.08993326,5.97763544786722
1_223_3,spend_audio,2408031.75223475,225298049.106159,0.00997697926733921,1077981.09620172,0.00816176491953551,225298049.106159,0.00997697926733921,1077981.09620172,0.00816176491953551,TRUE,0.00163663842554352,0.0180797737936292,0,0.116911132385123,0.0576618630313343,0.527106570574518,133208528.454404,3,223,1,1,1335,3,803465.03,3844.33028708134,0.00163663842554352,0.0180797737936292,54.4126401817887,280.408033571989,0.00356623163488386,209180.16065091,145.665183555684
1_223_3,spend_direct_mail,39245270.0937445,3795349797.74969,0.168071256696087,18159568.4102856,0.137492326096635,3795349797.74969,0.168071256696087,18159568.4102856,0.137492326096635,TRUE,0.322602630494664,0.304570173080718,0,0.116911132385123,0.0576618630313343,0.527106570574518,133208528.454404,3,223,1,1,1335,3,158373363.44,761410.401153846,0.322602630494664,0.304570173080718,19.0518744115411,23.9645715372305,0.0417282653456347,14506295.3384242,6.13837227225304
